"Time","Total","Free","FS Cache","Used Memory","Pinned"
1638252360000,8192,60.69921875,4376.486328125,3754.814453125,2649.166015625
1638252480000,8192,62.77734375,4376.490234375,3752.732421875,2649.076171875
1638252600000,8192,62.626953125,4376.541015625,3752.83203125,2649.140625
1638252720000,8192,60.298828125,4376.59765625,3755.103515625,2649.208984375
1638252840000,8192,62.607421875,4376.623046875,3752.76953125,2649.109375
1638252960000,8192,62.626953125,4376.626953125,3752.74609375,2649.05078125
1638253080000,8192,62.515625,4376.640625,3752.84375,2649.158203125
1638253200000,8192,62.5,4376.69140625,3752.80859375,2649.10546875
1638253320000,8192,62.4609375,4376.6953125,3752.84375,2649.115234375
1638253440000,8192,62.435546875,4376.705078125,3752.859375,2649.12109375
1638253560000,8192,61.9140625,4376.73046875,3753.35546875,2649.19921875
1638253680000,8192,62.1171875,4376.73828125,3753.14453125,2649.185546875
1638253800000,8192,61.841796875,4376.76171875,3753.396484375,2649.2265625
1638253920000,8192,60.205078125,4376.76171875,3755.033203125,2649.29296875
1638254040000,8192,63.45703125,4376.806640625,3751.736328125,2649.076171875
1638254160000,8192,63.4140625,4376.810546875,3751.775390625,2649.076171875
1638254280000,8192,63.44140625,4376.822265625,3751.736328125,2649.0390625
1638254400000,8192,63.001953125,4376.83203125,3752.166015625,2649.0625
1638254520000,8192,63.0390625,4376.8359375,3752.125,2649.04296875
1638254640000,8192,62.748046875,4376.859375,3752.392578125,2649.115234375
1638254760000,8192,62.322265625,4376.91015625,3752.767578125,2649.181640625
1638254880000,8192,62.80078125,4376.92578125,3752.2734375,2649.19921875
1638255000000,8192,60.826171875,4376.9375,3754.236328125,2649.146484375
1638255120000,8192,62.86328125,4376.93359375,3752.203125,2649.1015625
1638255240000,8192,62.837890625,4376.94140625,3752.220703125,2649.111328125
1638255360000,8192,62.837890625,4376.953125,3752.208984375,2649.10546875
1638255480000,8192,62.81640625,4376.990234375,3752.193359375,2649.09765625
1638255600000,8192,17.232421875,4416.8515625,3757.912109375,2651.90625
1638255720000,8192,11.365234375,4411.40234375,3769.232421875,2655.27734375
1638255840000,8192,1187.287109375,3238.671875,3766.041015625,2653.85546875
1638255960000,8192,2360.865234375,2077.31640625,3753.818359375,2651.673828125
1638256080000,8192,2360.642578125,2077.560546875,3753.796875,2651.623046875
1638256200000,8192,2298.3125,2153.162109375,3740.525390625,2651.650390625
1638256320000,8192,2294.912109375,2155.587890625,3741.5,2651.578125
1638256440000,8192,2292.43359375,2155.69921875,3743.8671875,2651.671875
1638256560000,8192,2291.46484375,2155.703125,3744.83203125,2651.6484375
1638256680000,8192,2291.376953125,2155.712890625,3744.91015625,2651.6640625
1638256800000,8192,2289.734375,2155.751953125,3746.513671875,2651.806640625
1638256920000,8192,2289.77734375,2155.736328125,3746.486328125,2651.716796875
